,Gene_symbol,Entrez_ID,Value_count
274,NEK3,4752,48
275,SNX19,399979,48
276,SLC37A4,2542,48
277,SENP6,26054,47
278,DCPS,28960,47
279,PQLC1,80148,47
280,C6orf182,285753,47
281,TMX3,54495,46
282,DEFB1,1672,46
283,UBE2L3,7332,46
284,WTAP,9589,46
285,TREX1,11277,46
286,C22orf30,253143,46
287,C4orf41,60684,46
288,ASCC2,84164,46
289,DDX19A,55308,46
290,C6orf162,57150,46
291,RNF185,91445,46
292,GUSBL2,375513,45
293,SERINC1,57515,45
294,BIRC2,329,45
295,TBCEL,219899,45
296,RNF6,6049,45
297,ZBTB44,29068,45
298,FAM21B,55747,45
299,EBPL,84650,45
300,DPAGT1,1798,45
301,NUP50,10762,45
