"Gene_symbol"	"Entrez_ID"	"Value_count"	"hgnc_symbol"	"ensembl_gene_id"	"chromosome_name"
"172"	"CCDC73"	493860	389	"CCDC73"	"ENSG00000186714"	"11"
"173"	"RWDD2B"	10069	388	"RWDD2B"	"ENSG00000156253"	"21"
"174"	"MYO1H"	283446	386	"MYO1H"	"ENSG00000174527"	"12"
"175"	"LOC550112"	550112	386	NA	NA	NA
"176"	"MMP24"	10893	384	"MMP24"	"ENSG00000125966"	"20"
"177"	"SPRR1A"	6698	383	"SPRR1A"	"ENSG00000169474"	"1"
"178"	"C10orf107"	219621	383	"CABCOCO1"	"ENSG00000183346"	"10"
"179"	"ZNF607"	84775	383	"ZNF607"	"ENSG00000198182"	"19"
"180"	"ZMAT2"	153527	380	"ZMAT2"	"ENSG00000146007"	"5"
"181"	"SPDYE2"	441273	380	"SPDYE2"	"ENSG00000205238"	"7"
"182"	"ZNF773"	374928	377	"ZNF773"	"ENSG00000152439"	"19"
"183"	"WDR55"	54853	377	"WDR55"	"ENSG00000120314"	"5"
"184"	"CASP9"	842	377	"CASP9"	"ENSG00000132906"	"1"
"185"	"POU4F3"	5459	376	"POU4F3"	"ENSG00000091010"	"5"
"186"	"TCTEX1D1"	200132	375	"DYNLT5"	"ENSG00000152760"	"1"
"187"	"GNRHR"	2798	375	"GNRHR"	"ENSG00000109163"	"4"
"188"	"PDLIM4"	8572	372	"PDLIM4"	"ENSG00000131435"	"5"
"189"	"C1orf156"	92342	371	"METTL18"	"ENSG00000171806"	"1"
"190"	"LCLAT1"	253558	367	"LCLAT1"	"ENSG00000172954"	"2"
"191"	"HSD17B12"	51144	366	"HSD17B12"	"ENSG00000149084"	"11"
"192"	"LQK1"	642946	365	"FLVCR1-DT"	"ENSG00000198468"	"1"
"193"	"ZNF419"	79744	363	"ZNF419"	"ENSG00000105136"	"19"
"194"	"SPCS1"	28972	355	"SPCS1"	"ENSG00000114902"	"3"
"195"	"HELLS"	3070	353	"HELLS"	"ENSG00000119969"	"10"
"196"	"C6orf162"	57150	353	"SMIM8"	"ENSG00000111850"	"6"
"197"	"TIMM10"	26519	353	"TIMM10"	"ENSG00000134809"	"11"
"198"	"SEC31B"	25956	352	"SEC31B"	"ENSG00000075826"	"10"
"199"	"SLC7A9"	11136	352	"SLC7A9"	"ENSG00000021488"	"19"
"200"	"LOC80154"	80154	346	NA	NA	NA
