"Gene_symbol"	"Entrez_ID"	"Value_count"	"ensembl_gene_id"	"entrezgene_id"	"chromosome_name"
"225"	"CILP2"	148113	323	"ENSG00000160161"	148113	"19"
"226"	"LYRM5"	144363	323	NA	NA	NA
"227"	"POMZP3"	22932	322	"ENSG00000146707"	22932	"7"
"228"	"ANKRD36B"	57730	322	"ENSG00000196912"	57730	"2"
"229"	"C14orf33"	100129075	322	NA	NA	NA
"230"	"MRPS30"	10884	321	"ENSG00000112996"	10884	"5"
"231"	"INVS"	27130	320	"ENSG00000119509"	27130	"9"
"232"	"SPPL2A"	84888	319	"ENSG00000138600"	84888	"15"
"233"	"ZNF404"	342908	318	"ENSG00000176222"	342908	"19"
"234"	"ITPA"	3704	318	"ENSG00000125877"	3704	"20"
"235"	"STX17"	55014	318	"ENSG00000136874"	55014	"9"
"236"	"UROS"	7390	317	"ENSG00000188690"	7390	"10"
"237"	"FIGNL1"	63979	317	"ENSG00000132436"	63979	"7"
"238"	"LOC374443"	374443	317	NA	NA	NA
"239"	"ALDH8A1"	64577	316	"ENSG00000118514"	64577	"6"
"240"	"MITD1"	129531	316	"ENSG00000158411"	129531	"2"
"241"	"AKR1C3"	8644	315	"ENSG00000196139"	8644	"10"
"242"	"C7orf44"	55744	315	NA	NA	NA
"243"	"C6orf163"	206412	315	"ENSG00000203872"	206412	"6"
"244"	"C13orf38"	728591	314	NA	NA	NA
"245"	"ZNF738"	148203	313	"ENSG00000172687"	148203	"19"
"246"	"ZNF257"	113835	313	"ENSG00000197134"	113835	"19"
"247"	"PRPH2"	5961	312	"ENSG00000112619"	5961	"6"
"248"	"ZNF493"	284443	311	"ENSG00000196268"	284443	"19"
"249"	"TRMT61B"	55006	311	"ENSG00000171103"	55006	"2"
"250"	"C6orf41"	100133205	310	NA	NA	NA
"251"	"PLK1S1"	55857	310	NA	NA	NA
"252"	"PPP2R3C"	55012	310	"ENSG00000092020"	55012	"14"
"253"	"C7orf63"	79846	307	NA	NA	NA
"254"	"TRIM66"	9866	307	"ENSG00000166436"	9866	"11"
"255"	"PYGB"	5834	306	"ENSG00000100994"	5834	"20"
"256"	"GPX7"	2882	306	"ENSG00000116157"	2882	"1"
"257"	"UPK3B"	80761	306	"ENSG00000243566"	105375355	"7"
"258"	"HS2ST1"	9653	306	"ENSG00000153936"	9653	"1"
"259"	"STOX1"	219736	306	"ENSG00000165730"	219736	"10"
"260"	"ZRANB3"	84083	305	"ENSG00000121988"	84083	"2"
"261"	"ATG10"	83734	304	"ENSG00000152348"	83734	"5"
"262"	"PYROXD2"	84795	303	"ENSG00000119943"	84795	"10"
"263"	"LYZ"	4069	302	"ENSG00000090382"	4069	"12"
"264"	"KRT6C"	286887	302	"ENSG00000170465"	286887	"12"
"265"	"AVL9"	23080	301	"ENSG00000105778"	23080	"7"
"266"	"SMPD2"	6610	301	"ENSG00000135587"	6610	"6"
"267"	"SNCA"	6622	299	"ENSG00000145335"	6622	"4"
"268"	"LINGO1"	84894	299	"ENSG00000169783"	84894	"15"
"269"	"ZKSCAN2"	342357	299	"ENSG00000155592"	342357	"16"
"270"	"GBP7"	388646	298	"ENSG00000213512"	388646	"1"
