Gene_symbol	TANK	RBCK1	CASC4	DUT	TMEM201	FBLN2	ABLIM3	MPRIP	MCF2L	EHBP1	COMMD5	GSN	GSPT1	PRMT2	INHBA	INSR	ISLR	LSP1	ATXN3	MYL6	SERPINA1	PPP2R1B	TMEM126B	ENY2	BMP1	SNRNP70	SOX15	DST	C12orf73	ZNF207	ADAMTS12	PCGF5	REPS1	CCND3	LRRFIP2	ZRANB2	H2AFV	CEP104	SLK	Cancer
Gene_ensembl_id	ENSG00000136560	ENSG00000125826	ENSG00000166734	ENSG00000128951	ENSG00000188807	ENSG00000163520	ENSG00000173210	ENSG00000133030	ENSG00000126217	ENSG00000115504	ENSG00000170619	ENSG00000148180	ENSG00000103342	ENSG00000160310	ENSG00000122641	ENSG00000171105	ENSG00000129009	ENSG00000130592	ENSG00000066427	ENSG00000092841	ENSG00000197249	ENSG00000137713	ENSG00000171204	ENSG00000120533	ENSG00000168487	ENSG00000104852	ENSG00000129194	ENSG00000151914	ENSG00000204954	ENSG00000010244	ENSG00000151388	ENSG00000180628	ENSG00000135597	ENSG00000112576	ENSG00000093167	ENSG00000132485	ENSG00000105968	ENSG00000116198	ENSG00000065613	Cancer
TCGA-BH-A0C0	16.0487745933	19.2448047831	21.2173788382	13.7026281505	3.14340085051	16.0216913782	9.20002046186	15.8841581031	2.56462805762	6.77990214216	6.31977625539	108.371694615	22.0664748739	19.3825857001	1.0665654198	16.8089211035	49.2667198785	9.25241292713	1.70060358627	137.65598547	13.8410873071	6.17570728514	9.98761899414	6.65527753613	1.80950930894	46.1979996895	2.32449321449	40.2118140734	1.90734076247	9.55539628969	1.2798806202	13.7624210355	5.58797359852	12.2442908637	4.76213560322	24.4310708383	30.1646212839	6.87726028191	21.7954076317	0
TCGA-A7-A0DB	5.6810941876	13.7619752552	18.3390024191	10.8860528874	1.63619695	240.259369474	20.01364749	13.6057311704	1.92226727261	14.2670065095	5.57788761253	446.986519581	16.8341969638	10.9706658705	0.383793570985	9.75208042974	116.289509484	25.2144627758	1.15826128984	184.766618735	2.20296883399	29.4573330831	11.033397975	5.57982552264	11.4475178478	18.9112561423	0.415373729843	8.86449110526	0.913691503326	5.94248862575	3.93407643114	7.66659309691	2.74175380147	10.0144324114	3.77112880189	11.500570748	24.6655375736	4.11336461055	14.3480172452	0
TCGA-BH-A1FU	17.2460499703	18.0146445693	20.3361303564	9.20961412954	3.55699792494	39.4591145339	10.550867647	18.757183591	3.88467501946	10.1238467105	7.08615562731	137.341875842	21.9046965165	17.0560390032	1.29350726192	12.6228475359	81.0946634301	17.4064689211	1.59378990387	138.313808489	51.9864030301	9.33361628532	9.68907437295	6.61104768068	4.02851469808	53.7369525497	2.03339513991	36.58612618	2.49197755794	10.9606959244	2.18936399267	9.16502435572	5.25151409177	19.401524348	4.05710680368	25.0606496139	32.8964957073	6.89717077043	22.0750979258	0
TCGA-BH-A1FJ	20.0639708282	8.54468137998	41.2787047656	15.0125445789	1.20591183455	44.6057760646	9.69957138067	9.62595061263	1.46511299309	14.6911379419	3.20161345822	100.833964099	28.8550154134	8.14017497242	1.3997078542	10.4123860034	59.8547448267	5.30303775774	1.78804201471	81.8317862173	31.1749395889	16.3778934545	17.3948588822	10.1914556503	1.67048901743	11.852505703	1.24957103202	37.489874737	1.35665081387	12.6027024723	1.52129011236	17.3916779218	7.23324170102	11.3670151485	5.64321125813	29.1292091249	39.3485731038	4.5658168911	29.1545977136	0
TCGA-E2-A1LH	19.0353221719	21.4469396802	22.7311740907	12.0957753634	3.55456236823	9.3803806491	7.73106618812	12.5229320402	2.59513210014	5.65607061319	8.43074215677	73.94263993	21.7404743152	18.4811317161	0.847446044236	11.6918573718	27.1437034417	8.7709509083	1.37591665089	134.015661476	16.7112839744	5.69190600013	10.4182759081	6.12553148629	1.99566852035	39.8273150848	2.36021085152	25.880261791	2.0461208963	8.70277591933	0.42615988287	11.5677422646	6.5848229196	15.9166211146	4.43534799166	20.0874888633	33.9870869485	6.63636891787	14.6773334836	0
TCGA-E9-A1NG	11.5598586601	13.1353687259	21.1175329518	10.0099427203	1.70048123885	179.523471584	18.0030693213	13.4415014552	2.4177442024	19.7410438261	5.3490984271	444.704436932	22.3984511092	7.08037181919	0.845862692018	11.2814418867	84.7911048983	15.9411437563	1.17755873297	189.706698886	24.6472498098	28.2746593816	11.6139367767	6.83357824155	4.70044274306	19.3641014649	0.569401894385	19.8015147266	1.12749299533	6.59564386472	3.24613818783	8.81866839558	3.35530236275	9.9550136785	5.35296090386	13.5736721771	25.3168024216	6.06204082595	21.1130709198	0
TCGA-E2-A15K	8.84226939127	24.251895718	10.9370817822	10.4159578263	3.15731895729	148.422397292	15.4784819655	10.2847196377	3.23487135737	6.99097048262	9.32651257253	454.940601544	10.7962665294	15.2767858411	0.594503015573	7.21354774871	163.777849515	39.0782080271	0.858590452494	279.234165683	13.5522631773	6.86776919375	9.70305579186	5.8636843294	5.78706958062	35.2948350183	2.5883359142	10.0999156909	1.77447267317	5.06181623807	1.048658027	3.32296374718	3.0821547288	20.9933809566	4.30762689135	8.09771085981	21.2071588767	3.45422005765	7.0618404578	0
TCGA-E9-A1RH	7.97999005318	13.1877867791	17.8900744401	9.89258866232	1.26040400866	180.715973849	12.8950874324	13.5836705338	2.0405659616	17.5393611794	3.72784978113	383.853113565	19.2482031491	9.16136768173	1.24395148236	12.2335239668	69.500546201	13.8113970121	1.23099698326	170.776901082	6.02202142169	29.895845815	11.9552747524	5.60071898731	4.53679880192	15.3301748782	0.51338639099	11.6466914428	1.95908202583	5.79777203184	3.03805449731	9.38471209873	2.6688560878	9.9538737128	3.6390706833	15.4719335462	24.6420210848	4.78211250968	15.7496563765	0
TCGA-BH-A0H7	21.3253537098	23.1691509564	18.1523575267	11.3198843314	2.8661634594	27.1213429582	5.14933326145	9.22882668715	3.2206012499	5.76504097665	13.5241938509	166.671742579	20.8813433424	16.585693661	0.653228573049	11.9690596437	65.0123788795	13.9039538085	0.777484259906	188.785442354	24.9287530021	4.48580857608	8.38938136619	10.5965650552	1.89694524223	30.636940725	2.59126471878	20.8243483403	3.8520469172	9.53359307986	1.01001107083	6.70479495376	5.12962462625	18.0753837461	4.89374964696	12.2639840689	28.4045534922	3.90888624968	11.4573463223	0
TCGA-BH-A0H9	5.95203654104	21.7626873262	12.3332759748	16.3339681332	2.14318782557	170.568883909	32.9230906586	14.2139510258	2.84899642537	12.096819567	8.34306068963	676.7537308	13.4240126983	11.9966404991	0.791556662087	9.22808895144	63.6887352166	12.6132247613	0.838683197959	388.703312465	1.22122383204	29.0631734224	13.1881280392	7.10014635135	4.67364784761	23.286798915	0.951373620308	3.01324153777	1.67315972634	4.71744984566	2.66634830073	6.24540434205	1.91872236455	15.1609798231	3.7441357689	9.03873851796	22.7365373881	3.66392591511	9.13763699775	0
TCGA-BH-A1FC	10.7337861587	20.0828084839	22.3893465409	12.9976230689	2.81238644287	72.928301441	17.4399586641	11.6308023843	2.36680033265	9.47910077142	7.89736335339	168.342268287	25.2471575363	12.4843641186	1.19466681146	8.62082153769	66.8868362011	15.6116358016	1.4569895956	192.38357065	16.3579686371	16.5089595256	13.7662591363	8.18201082391	3.46842799999	24.0436074644	1.10871172229	19.8906555579	2.58449321003	9.73458438356	1.76770050415	10.2128888195	4.82794958665	16.2106667116	6.46074048785	19.1908199179	35.6947003592	5.03634458335	17.8730173983	0
