Gene_symbol	CTTN	FBLN2	FLNA	ARHGEF9	SLC39A14	ATP6V1C2	ISLR	MYH11	SRI	UGP2	IL1R2	HKDC1	CD44	Cancer
Gene_ensembl_id	ENSG00000085733	ENSG00000163520	ENSG00000196924	ENSG00000131089	ENSG00000104635	ENSG00000143882	ENSG00000129009	ENSG00000133392	ENSG00000075142	ENSG00000169764	ENSG00000115590	ENSG00000156510	ENSG00000026508	Cancer
Sample_ID														
TCGA-CM-4748-01A-01R-1410-07	33.5132495652	10.6756807993	85.3520326906	3.69694605362	10.6561194827	1.6484998317299997	23.5924951583	28.5166674318	48.821195984300005	10.967663545599999	3.34340227831	10.1319454908	28.877350338600007	1
TCGA-AA-3517-01A-01R-0821-07	59.7528697179	6.86317374755	47.0275552057	4.66324224794	37.3298097146	3.0913852937	12.4027849076	4.19349029105	39.2021008519	10.5631015433	0.6155413859800001	67.2319994017	55.2966343502	1
TCGA-D5-5541-01A-01R-1653-07	42.4144259507	6.64684749633	36.563808796	3.20758624337	24.287696535300004	4.11639374615	28.7017599094	5.76400009244	47.3874968963	18.1019501982	0.728918306312	28.6859936577	23.9681932299	1
TCGA-A6-2686-01A-01R-A32Z-07	20.172615617	11.0479897688	39.4407018262	2.68690989126	29.445689081799998	1.35836566753	26.509774814	4.2011859125300015	93.4786420273	12.9393564048	3.46000174211	4.743834917209999	66.2394318485	1
TCGA-NH-A50U-01A-33R-A37K-07	54.2277537687	5.48979992936	64.926805683	4.0629364191300015	12.9728712874	17.9340732002	12.058392958299999	7.7791930379	24.716849987199996	11.8905625907	4.23392897391	19.596394216	61.20800345479999	1
TCGA-AA-3543-01A-01R-0826-07	56.558521736	11.6622626295	41.0838339122	1.39044315018	20.5792377426	1.22255587705	25.9188777042	0.701351720451	32.4272651592	10.658864102799999	3.80980943062	15.4369772255	35.4719554163	1
TCGA-AA-3518-01A-02R-0826-07	43.7472293454	3.76849244622	37.933336159899994	2.25009960137	18.0193704098	2.31089656902	9.15542549914	0.740950346618	16.3508688953	14.6710552256	2.46800749378	16.8257440952	54.1226279246	1
TCGA-AA-3984-01A-02R-1022-07	28.9571974123	6.42137661702	163.80058865799998	2.3322576663	34.8957497954	4.76100455208	21.399381539100002	4.50791769905	31.570905979099997	14.6398908963	2.30162203966	15.8596025455	54.4953902608	1
TCGA-AZ-6599-01A-11R-1774-07	32.4968240085	1.22426696808	9.73754904974	2.39430738403	24.810475887	0.616765367732	1.20867188784	3.87756757561	49.2094364983	14.3964114407	5.636201624530001	6.1636687791	60.0516511314	1
TCGA-D5-6922-01A-11R-1928-07	49.4576196784	13.639551982999999	186.221067675	4.611781387340001	11.8665415087	3.4778731272800005	45.9061611628	91.62950249100001	27.456146416	14.730107616600002	0.291247185793	13.3266216654	17.5631393726	1
